region,total,stars
Austria,12,1
Brazil,15,1
China,89,1
Croatia,5,1
Czech Republic,2,1
Denmark,22,1
Finland,6,1
Greece,3,1
Hungary,5,1
Ireland,13,1
Norway,7,1
Poland,2,1
South Korea,19,1
Sweden,15,1
Taiwan,18,1
Thailand,22,1
United Kingdom,138,1
USA,155,1
Austria,6,2
Brazil,3,2
China,21,2
Denmark,5,2
Greece,1,2
Hungary,1,2
Ireland,1,2
South Korea,5,2
Sweden,5,2
Taiwan,5,2
Thailand,4,2
United Kingdom,19,2
USA,33,2
Austria,1,3
China,10,3
Denmark,1,3
Norway,1,3
South Korea,2,3
Sweden,1,3
Taiwan,1,3
United Kingdom,5,3
USA,14,3
